picks_date,team_1,team_2,match_id,event_id,best_of,t1_removed_1,t1_removed_2,t1_removed_3,t2_removed_1,t2_removed_2,t2_removed_3,t1_picked_1,t2_picked_1,date,team_1-1,team_2-1,_map,result_1,result_2,map_winner,starting_ct,ct_1,t_2,t_1,ct_2,event_id-1,match_id-1,rank_1,rank_2,map_wins_1,map_wins_2,match_winner
18-03-2020,TeamOne,Recon 5,2340454,5151,3,Vertigo,Train,0.0,Nuke,Overpass,0.0,Dust2,Inferno,18-03-2020,Recon 5,TeamOne,Dust2,0,16,2,2,0,1,0,15,5151,2340454,62,63,0,2,2
18-03-2020,TeamOne,Recon 5,2340454,5151,3,Vertigo,Train,0.0,Nuke,Overpass,0.0,Dust2,Inferno,18-03-2020,Recon 5,TeamOne,Inferno,13,16,2,2,8,6,5,10,5151,2340454,62,63,0,2,2
18-03-2020,Rugratz,Bad News Bears,2340453,5151,3,Dust2,Nuke,0.0,Mirage,Train,0.0,Vertigo,Inferno,18-03-2020,Rugratz,Bad News Bears,Inferno,7,16,2,2,0,8,7,8,5151,2340453,61,38,0,2,2
18-03-2020,Rugratz,Bad News Bears,2340453,5151,3,Dust2,Nuke,0.0,Mirage,Train,0.0,Vertigo,Inferno,18-03-2020,Rugratz,Bad News Bears,Vertigo,8,16,2,2,4,5,4,11,5151,2340453,61,38,0,2,2
17-03-2020,Singularity,Endpoint,2340456,5247,3,Train,Mirage,0.0,Nuke,Inferno,0.0,Overpass,Vertigo,17-03-2020,Singularity,Endpoint,Overpass,13,16,2,2,8,6,5,10,5247,2340456,71,41,0,2,2
17-03-2020,Singularity,Endpoint,2340456,5247,3,Train,Mirage,0.0,Nuke,Inferno,0.0,Overpass,Vertigo,17-03-2020,Singularity,Endpoint,Vertigo,11,16,2,1,6,9,5,7,5247,2340456,71,41,0,2,2
17-03-2020,Espada,Tricked,2340455,5247,3,Vertigo,Inferno,0.0,Overpass,Mirage,0.0,Dust2,Nuke,17-03-2020,Espada,Tricked,Dust2,16,10,1,2,3,8,13,2,5247,2340455,56,77,2,0,1
17-03-2020,Espada,Tricked,2340455,5247,3,Vertigo,Inferno,0.0,Overpass,Mirage,0.0,Dust2,Nuke,17-03-2020,Espada,Tricked,Nuke,16,10,1,1,7,8,9,2,5247,2340455,56,77,2,0,1
17-03-2020,BIG,fnatic,2340397,5226,3,Train,Dust2,0.0,Nuke,Vertigo,0.0,Inferno,Overpass,17-03-2020,fnatic,BIG,Mirage,12,16,2,1,9,6,3,10,5226,2340397,5,18,1,2,2
17-03-2020,Movistar Riders,Sprout,2340447,5150,3,Dust2,Train,0.0,Overpass,Vertigo,0.0,Inferno,Mirage,17-03-2020,Sprout,Movistar Riders,Mirage,16,10,1,2,9,2,7,8,5150,2340447,33,37,2,0,1
17-03-2020,Skyfire,Rooster,2340444,5236,3,Dust2,Vertigo,0.0,Train,Nuke,0.0,Inferno,Overpass,17-03-2020,Rooster,Skyfire,Inferno,16,13,1,1,7,8,9,5,5236,2340444,103,126,2,0,1
17-03-2020,Skyfire,Rooster,2340444,5236,3,Dust2,Vertigo,0.0,Train,Nuke,0.0,Inferno,Overpass,17-03-2020,Rooster,Skyfire,Overpass,16,1,1,2,2,0,14,1,5236,2340444,103,126,2,0,1
17-03-2020,Airborne,Paradox,2340443,5236,3,Train,Dust2,0.0,Vertigo,Overpass,0.0,Nuke,Mirage,17-03-2020,Paradox,Airborne,Nuke,19,16,1,1,8,7,7,8,5236,2340443,112,187,1,2,2
17-03-2020,Airborne,Paradox,2340443,5236,3,Train,Dust2,0.0,Vertigo,Overpass,0.0,Nuke,Mirage,17-03-2020,Paradox,Airborne,Mirage,9,16,2,2,6,4,3,12,5236,2340443,112,187,1,2,2
17-03-2020,Airborne,Paradox,2340443,5236,3,Train,Dust2,0.0,Vertigo,Overpass,0.0,Nuke,Mirage,17-03-2020,Paradox,Airborne,Inferno,10,16,2,1,5,10,5,6,5236,2340443,112,187,1,2,2
17-03-2020,HellRaisers,AGO,2340449,5150,3,Nuke,Mirage,0.0,Overpass,Dust2,0.0,Inferno,Train,17-03-2020,AGO,HellRaisers,Train,16,5,1,2,3,3,13,2,5150,2340449,45,49,2,0,1
17-03-2020,HellRaisers,AGO,2340449,5150,3,Nuke,Mirage,0.0,Overpass,Dust2,0.0,Inferno,Train,17-03-2020,AGO,HellRaisers,Inferno,16,5,1,1,11,4,5,1,5150,2340449,45,49,2,0,1
17-03-2020,Movistar Riders,Sprout,2340447,5150,3,Dust2,Train,0.0,Overpass,Vertigo,0.0,Inferno,Mirage,17-03-2020,Sprout,Movistar Riders,Inferno,16,7,1,1,13,2,3,5,5150,2340447,33,37,2,0,1
17-03-2020,BIG,fnatic,2340397,5226,3,Train,Dust2,0.0,Nuke,Vertigo,0.0,Inferno,Overpass,17-03-2020,fnatic,BIG,Overpass,16,7,1,2,4,4,12,3,5226,2340397,5,18,1,2,2
17-03-2020,North,Natus Vincere,2340396,5226,3,Train,Inferno,0.0,Vertigo,Mirage,0.0,Nuke,Dust2,17-03-2020,Natus Vincere,North,Nuke,10,16,2,1,7,8,3,8,5226,2340396,1,23,0,2,2
17-03-2020,North,Natus Vincere,2340396,5226,3,Train,Inferno,0.0,Vertigo,Mirage,0.0,Nuke,Dust2,17-03-2020,Natus Vincere,North,Dust2,10,16,2,1,5,10,5,6,5226,2340396,1,23,0,2,2
17-03-2020,Complexity,forZe,2340279,5226,3,Inferno,Nuke,0.0,Overpass,Vertigo,0.0,Dust2,Train,17-03-2020,forZe,Complexity,Train,9,16,2,2,3,7,6,9,5226,2340279,24,17,2,1,1
17-03-2020,Complexity,forZe,2340279,5226,3,Inferno,Nuke,0.0,Overpass,Vertigo,0.0,Dust2,Train,17-03-2020,forZe,Complexity,Mirage,19,17,1,1,10,5,5,10,5226,2340279,24,17,2,1,1
17-03-2020,BIG,fnatic,2340397,5226,3,Train,Dust2,0.0,Nuke,Vertigo,0.0,Inferno,Overpass,17-03-2020,fnatic,BIG,Inferno,7,16,2,1,5,10,2,6,5226,2340397,5,18,1,2,2
17-03-2020,Complexity,forZe,2340279,5226,3,Inferno,Nuke,0.0,Overpass,Vertigo,0.0,Dust2,Train,17-03-2020,forZe,Complexity,Dust2,16,9,1,2,8,2,8,7,5226,2340279,24,17,2,1,1
